TestId,TestStatus,serial.port,comport_binding,interface,ser.baudrate,ser.bytesize,ser.parity,ser.stopbits,ser.xonxoff,ser.rtscts,ser.dsrdtr,host,tcp.port,packet.length,iterations,FileSend
155,FALSE,COM8,data1,rs485-4w,4800,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
156,FALSE,COM8,data1,rs485-4w,9600,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
157,FALSE,COM8,data1,rs485-4w,19200,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
158,FALSE,COM8,data1,rs485-4w,38400,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
159,FALSE,COM8,data1,rs485-4w,57600,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
160,FALSE,COM8,data1,rs485-4w,115200,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,2,filesend.txt
161,FALSE,COM8,data1,rs422,75,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
162,FALSE,COM8,data1,rs422,110,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
163,FALSE,COM8,data1,rs422,134,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
164,FALSE,COM8,data1,rs422,150,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
165,FALSE,COM8,data1,rs422,200,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
166,FALSE,COM8,data1,rs422,300,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
167,FALSE,COM8,data1,rs422,600,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
168,FALSE,COM8,data1,rs422,1200,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
169,FALSE,COM8,data1,rs422,1800,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
170,FALSE,COM8,data1,rs422,2400,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
171,FALSE,COM8,data1,rs422,4800,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
172,FALSE,COM8,data1,rs422,9600,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
173,FALSE,COM8,data1,rs422,19200,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
174,FALSE,COM8,data1,rs422,38400,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
175,FALSE,COM8,data1,rs422,57600,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
176,FALSE,COM8,data1,rs422,115200,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
177,FALSE,COM8,data1,loopback,75,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
178,FALSE,COM8,data1,loopback,110,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
179,FALSE,COM8,data1,loopback,134,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
180,FALSE,COM8,data1,loopback,150,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
181,FALSE,COM8,data1,loopback,200,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
182,FALSE,COM8,data1,loopback,300,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
183,FALSE,COM8,data1,loopback,600,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
184,FALSE,COM8,data1,loopback,1200,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
185,FALSE,COM8,data1,loopback,1800,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
186,FALSE,COM8,data1,loopback,2400,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
187,FALSE,COM8,data1,loopback,4800,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
188,FALSE,COM8,data1,loopback,9600,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
189,FALSE,COM8,data1,loopback,19200,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
190,FALSE,COM8,data1,loopback,38400,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
191,FALSE,COM8,data1,loopback,57600,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
192,FALSE,COM8,data1,loopback,115200,8,none,1,FALSE,FALSE,FALSE,192.168.25.12,4001,1024,10,filesend.txt
